Song,Album debut,Songwriter(s),Lead vocal(s),Year,Notes,Ref(s)
"""12-Bar Original""",Anthology 2,"John Lennon
Paul McCartney
George Harrison
Ringo Starr",Instrumental,1965,,
"""Across the Universe""",Let It Be,Lennon,Lennon,1968,,[4]
"""Act Naturally""","UK: Help!
US: Yesterday and Today","Johnny Russell
Voni Morrison",Starr,1965,Cover,[5][6]
"""Ain't She Sweet""",Anthology 1,"Jack Yellen
Milton Ager",Lennon,1961,Cover,
"""All I've Got to Do""","UK: With the Beatles
US: Meet the Beatles!",Lennon,Lennon,1963,,[7][8]
"""All My Loving""","UK: With the Beatles
US: Meet the Beatles!",McCartney,McCartney,1963,,[7][8]
"""All Things Must Pass""",Anthology 3,Harrison,Harrison,1969,,
"""All Together Now""",Yellow Submarine,"McCartney
(with Lennon)",McCartney,1967,,[9]
"""All You Need Is Love""",Magical Mystery Tour,Lennon,Lennon,1967,,[10]
"""And I Love Her""","UK: A Hard Day's Night
US: Something New","McCartney
(with Lennon)",McCartney,1964,,[11][12]
"""And Your Bird Can Sing""","UK: Revolver
US: Yesterday and Today","Lennon
(with McCartney)",Lennon,1966,,[13][14]
"""Anna (Go to Him)""","UK: Please Please Me
US: The Early Beatles",Arthur Alexander,Lennon,1963,Cover,[15]
"""Another Girl""",Help!,McCartney,McCartney,1965,,[16]
"""Any Time at All""","UK: A Hard Day's Night
US: Something New","Lennon
(with McCartney)",Lennon,1964,,[17][18]
"""Ask Me Why""","UK: Please Please Me
US: The Early Beatles","Lennon
(with McCartney)",Lennon,1962,,[15]
"""Baby It's You""","UK: Please Please Me
US: The Early Beatles","Burt Bacharach
Hal David
Luther Dixon",Lennon,1963,Cover,[19]
"""Baby, You're a Rich Man""",Magical Mystery Tour,"Lennon
McCartney",Lennon,1967,"Non-album single
B-side of ""All You Need is Love""",[10]
"""Baby's in Black""","UK: Beatles for Sale
US: Beatles '65","Lennon
McCartney","Lennon
McCartney",1964,,[20][21]
"""Back in the U.S.S.R.""",The Beatles,McCartney,McCartney,1968,,[22]
"""Bad Boy""","UK: A Collection of Beatles Oldies
US: Beatles VI",Larry Williams,Lennon,1965,Cover,[23][24]
